Word,Sentiment
幹,negative
一下子爆發,negative
一下子爆發的一連串,negative
一巴掌,negative
一再,negative
一再叮囑,negative
一拳,negative
一般殺人罪,negative
一陣狂風,negative
一陣緊張,negative
一掌,negative
一團糟,negative
一摑,negative
一點點,negative
一蹶不振,negative
人事不省,negative
人為,negative
人為的,negative
入迷,negative
入迷的,negative
入迷的人,negative
刀刃,negative
刁難,negative
力盡,negative
匕首,negative
下地獄,negative
下垂,negative
下垂度,negative
下流,negative
下流的,negative
下降,negative
下陷,negative
下等,negative
下等的,negative
下跌,negative
下獄,negative
下層社會,negative
下暴雨,negative
上當,negative
上鉤,negative
上癮,negative
上癮者,negative
久坐,negative
久坐的,negative
久經,negative
久經世故,negative
久經世故的,negative
乞丐,negative
乞求,negative
乞討,negative
乞得,negative
亡命,negative
亡命者,negative
口吃,negative
口角,negative
口渴,negative
口渴的,negative
土匪,negative
士氣低落,negative
大叫,negative
大叫大嚷著要求,negative
大失敗,negative
大吃一驚,negative
大吃一驚的,negative
大批出沒,negative
大災難,negative
大雨,negative
大洪水,negative
大恐慌,negative
大浪,negative
大破壞,negative
大屠殺,negative
大量殺戮,negative
大量噴出,negative
大傷,negative
大意,negative
大意的,negative
大話,negative
大禍,negative
大錯,negative
大聲,negative
大聲的要求,negative
大聲要求,negative
大聲要求的,negative
大膽,negative
大膽的,negative
大嚷,negative
大變革,negative
大變動,negative
大驚小怪,negative
女巫,negative
子彈,negative
小人,negative
小心,negative
小卒,negative
小氣,negative
小氣的,negative
小偷,negative
小規模戰鬥,negative
小傢伙,negative
小搗蛋,negative
小衝突,negative
小題大作,negative
工作過度,negative
工作過度的,negative
己見,negative
已過盛年,negative
已過盛年的,negative
干涉,negative
干擾,negative
干擾者,negative
不一致,negative
不上算的,negative
不大,negative
不大可能,negative
不大可能之事,negative
不小心,negative
不小心的,negative
不公平,negative
不公平的,negative
不公正,negative
不切實際,negative
不切實際的,negative
不友好,negative
不友好的,negative
不友善,negative
不友善地,negative
不友善的,negative
不及格,negative
不太,negative
不太可能的,negative
不引人注意,negative
不引人注意的,negative
不毛,negative
不毛的,negative
不充分,negative
不充分的,negative
不充足,negative
不充足的,negative
不出場,negative
不加,negative
不加思考,negative
不加思考的,negative
不可,negative
不可否認,negative
不可否認的,negative
不可抵抗,negative
不可抵抗的,negative
不可信,negative
不可信的,negative
不可信的事物,negative
不可信賴,negative
不可思議,negative
不可思議的,negative
不可能之事,negative
不可能的,negative
不可愛,negative
不可愛的,negative
不可預知,negative
不可預知的,negative
不可預測,negative
不可預測的,negative
不可靠,negative
不可靠的,negative
不可避免,negative
不可避免的,negative
不平,negative
不平均,negative
不平均的,negative
不平坦,negative
不平坦的,negative
不平常,negative
不平常的,negative
不平等,negative
不平等的,negative
不平整,negative
不平衡,negative
不平衡的,negative
不平靜,negative
不平靜的,negative
不必要,negative
不必要的,negative
不正,negative
不正的,negative
不正直,negative
不正直的,negative
不正常,negative
不正常的興奮,negative
不正當,negative
不正當的,negative
不正確,negative
不正確的,negative
不生育,negative
不生育的,negative
不休,negative
不光明正大,negative
不光明正大的,negative
不吉利,negative
不吉利的,negative
不同意,negative
不名譽,negative
不名譽的,negative
不合,negative
不合宜,negative
不合宜的,negative
不合法,negative
不合法的,negative
不合時宜,negative
不合時宜的,negative
不合格,negative
不合格的,negative
不合情理之事,negative
不合理,negative
不合理的,negative
不合規定,negative
不合規定的,negative
不合規格之物,negative
不合意,negative
不合意的,negative
不合群,negative
不合群的動物,negative
不合標準,negative
不合標準的,negative
不合適,negative
不合適地代表,negative
不合適的,negative
不合邏輯,negative
不合邏輯的,negative
不在乎,negative
不在乎的,negative
不在意,negative
不在意的,negative
不好,negative
不如,negative
不存在,negative
不守,negative
不守規矩,negative
不守規矩的,negative
不安,negative
不安全,negative
不安全的,negative
不安定,negative
不安定的,negative
不安的,negative
不安的狀態,negative
不安寧,negative
不安寧的,negative
不安穩,negative
不安穩的,negative
不成比例,negative
不成比例的,negative
不成功,negative
不成功的,negative
不成熟,negative
不成熟的,negative
不自在,negative
不自在的,negative
不自然,negative
不自然的,negative
不住,negative
不利,negative
不利的,negative
不告而別,negative
不均勻,negative
不均勻的,negative
不均等,negative
不妊,negative
不妊的,negative
不妥當,negative
不妥當的,negative
不孝,negative
不完全,negative
不完全的,negative
不完美,negative
不完美的,negative
不快,negative
不快樂,negative
不快樂的,negative
不牢固,negative
不牢固的,negative
不牢靠,negative
不牢靠的,negative
不良,negative
不良的,negative
不見,negative
不足,negative
不足之處,negative
不足取,negative
不足取的,negative
不足的,negative
不足額,negative
不兩立,negative
不到,negative
不到案,negative
不協調,negative
不受感動,negative
不受感動的,negative
不受歡迎,negative
不受歡迎的,negative
不和,negative
不和的,negative
不和諧,negative
不周到,negative
不周到的,negative
不坦率,negative
不坦率的,negative
不定,negative
不定的,negative
不宜,negative
不宜的,negative
不幸,negative
不幸之事,negative
不幸事件,negative
不幸的,negative
不幸的人,negative
